Pred. Values,New Pred. Values,Actual Values
36.21,36.62,35
44.33,44.99,33
18.48,17.28,17
33.87,33.55,39
13.22,14.9,16
30.32,30.59,25
30.37,31.31,29
31.28,30.83,25
34.85,35.53,19
43.28,44.04,42
34.82,33.64,37
18.44,18.89,22
45.91,43.86,37
40.42,40.41,37
19.6,19.62,19
29.6,29.84,24
28.97,28.52,30
13.47,13.24,18
33.16,33.74,39
33.89,33.04,28
35.7,36.29,34
24.11,22.59,22
33.41,32.8,37
27.12,27.75,27
13.93,13.97,14
29.36,30.02,32
31.07,30.36,32
33.37,33.63,26
25.17,23.18,15
34.43,35.5,46
33.61,33.17,40
31.83,31.85,28
28.69,26.88,25
34.96,34.91,39
13.34,12.46,13
53.37,50.31,62
35.59,35.66,43
33.61,33.48,35
29.74,29.78,24
36.97,36.99,39
35.72,36.24,39
13.39,14.74,10
12.83,12.69,12
34.67,35.72,34
23.1,22.64,22
35.95,34.61,38
17.02,17.23,16
34.75,33.33,36
35.6,36.54,36
18.13,16.38,14
36.13,35.67,31
33.74,32.63,30
13.76,13.35,11
35.16,33.12,30
32.52,32.2,27
10.73,11.84,9
31.49,32.01,29
33.46,31.9,30
28.89,26.19,28
35.34,34.32,38
30.47,31.72,26
15.08,14.23,9
31.78,31.53,27
21.78,22.26,18
12.62,12.19,9
31.32,30.95,31
34.29,34.09,32
36.35,35.66,32
14.13,13.7,6
41.38,38.26,33
32.73,31.92,29
35.69,35.32,29
14.15,13.95,9
13.02,12.9,12
13.0,12.3,16
30.6,30.75,29
36.6,36.66,42
37.99,38.13,45
11.68,12.18,7
35.09,33.59,34
12.39,13.28,6
33.98,33.82,25
37.59,36.9,37
13.12,12.62,16
38.37,39.08,43
13.37,13.49,19
28.23,27.99,43
40.93,39.74,46
14.46,13.84,8
22.11,21.89,20
34.77,35.28,41
37.6,37.86,37
36.52,35.78,38
13.64,12.98,12
36.45,35.03,33
32.98,33.2,27
35.22,34.81,33
13.16,13.17,8
18.86,19.65,14
13.15,12.36,10
