Pred. Values,New Pred. Values,Actual Values
15.0,29.55,27
8.0,15.74,14
27.0,29.55,32
38.0,32.84,32
33.0,35.92,26
25.0,26.55,15
38.0,37.43,46
29.0,32.81,40
33.0,29.69,28
37.0,26.55,25
31.0,34.56,39
9.0,12.83,13
85.0,58.14,62
41.0,37.96,43
38.0,34.56,35
32.0,24.6,24
33.0,41.15,39
28.0,37.94,39
15.0,12.83,10
13.0,12.83,12
34.0,37.94,34
31.0,22.79,22
45.0,34.29,38
20.0,16.77,16
41.0,34.56,36
38.0,34.03,36
12.0,20.72,14
30.0,36.55,31
34.0,37.43,30
12.0,12.83,11
29.0,34.56,30
26.0,31.59,27
6.0,12.83,9
31.0,32.81,29
42.0,32.84,30
16.0,24.6,28
29.0,34.56,38
23.0,29.69,26
18.0,12.83,9
21.0,34.47,27
14.0,26.55,18
7.0,12.83,9
32.0,31.1,31
33.0,32.81,32
37.0,36.55,32
15.0,13.87,6
49.0,37.94,33
45.0,34.29,29
35.0,32.25,29
10.0,12.83,9
14.0,12.83,12
9.0,12.83,16
26.0,32.81,29
43.0,37.96,42
33.0,37.96,45
9.0,12.83,7
27.0,31.62,34
20.0,12.83,6
25.0,34.56,25
39.0,37.94,37
12.0,12.83,16
39.0,41.36,43
19.0,12.83,19
28.0,31.62,43
41.0,41.15,46
11.0,16.77,8
27.0,23.59,20
38.0,37.96,41
40.0,40.7,37
37.0,33.46,38
12.0,12.83,12
37.0,34.56,33
32.0,32.81,27
35.0,34.56,33
12.0,12.83,8
16.0,19.28,14
14.0,12.83,10
36.0,32.81,38
11.0,15.74,14
33.0,29.69,27
14.0,12.83,7
32.0,34.56,37
22.0,23.52,33
45.0,45.62,35
17.0,24.6,18
33.0,31.62,27
31.0,35.92,22
39.0,37.96,39
30.0,32.84,24
34.0,33.46,37
19.0,24.6,24
14.0,12.83,7
33.0,37.43,43
37.0,40.7,37
26.0,24.6,29
33.0,36.55,35
10.0,16.77,19
16.0,16.77,4
36.0,40.7,35
32.0,30.03,26
8.0,12.83,16
28.0,34.56,35
36.0,33.41,35
48.0,32.84,22
24.0,19.28,25
10.0,12.83,13
32.0,26.55,28
28.0,41.36,25
36.0,26.55,21
20.0,16.77,15
12.0,20.72,25
17.0,30.03,30
9.0,13.87,14
48.0,32.84,27
46.0,37.43,39
28.0,29.55,24
38.0,37.96,40
29.0,22.79,22
